Date,DSPI
01/01/1959,351.5
02/01/1959,352.9
03/01/1959,355.2
04/01/1959,358.2
05/01/1959,360.3
06/01/1959,362.6
07/01/1959,362.8
08/01/1959,361.2
09/01/1959,362.3
10/01/1959,363.4
11/01/1959,366.3
12/01/1959,370.2
01/01/1960,370.8
02/01/1960,371.3
03/01/1960,371.9
04/01/1960,374.7
05/01/1960,376.0
06/01/1960,376.5
07/01/1960,377.7
08/01/1960,377.5
09/01/1960,378.3
10/01/1960,380.1
11/01/1960,379.8
12/01/1960,378.2
01/01/1961,381.9
02/01/1961,383.8
03/01/1961,385.2
04/01/1961,385.8
05/01/1961,389.2
06/01/1961,393.3
07/01/1961,395.5
08/01/1961,395.9
09/01/1961,396.7
10/01/1961,400.8
11/01/1961,404.6
12/01/1961,407.1
01/01/1962,406.9
02/01/1962,409.8
03/01/1962,413.1
04/01/1962,415.4
05/01/1962,415.9
06/01/1962,416.2
07/01/1962,417.8
08/01/1962,418.8
09/01/1962,421.0
10/01/1962,422.6
11/01/1962,424.1
12/01/1962,425.9
01/01/1963,430.0
02/01/1963,427.9
03/01/1963,429.4
04/01/1963,431.1
05/01/1963,433.5
06/01/1963,436.6
07/01/1963,438.0
08/01/1963,440.3
09/01/1963,443.5
10/01/1963,447.0
11/01/1963,448.5
12/01/1963,452.8
01/01/1964,455.3
02/01/1964,457.4
03/01/1964,468.5
04/01/1964,471.4
05/01/1964,473.9
06/01/1964,476.2
07/01/1964,479.0
08/01/1964,481.5
09/01/1964,484.2
10/01/1964,484.3
11/01/1964,488.1
12/01/1964,493.5
01/01/1965,495.0
02/01/1965,495.4
03/01/1965,497.7
04/01/1965,499.0
05/01/1965,505.6
06/01/1965,507.8
07/01/1965,513.5
08/01/1965,516.2
09/01/1965,529.9
10/01/1965,527.5
11/01/1965,532.1
12/01/1965,536.3
01/01/1966,537.2
02/01/1966,541.7
03/01/1966,545.2
04/01/1966,545.0
05/01/1966,546.5
06/01/1966,550.2
07/01/1966,553.1
08/01/1966,558.1
09/01/1966,563.2
10/01/1966,566.5
11/01/1966,570.0
12/01/1966,570.7
01/01/1967,576.6
02/01/1967,578.4
03/01/1967,583.0
04/01/1967,583.8
05/01/1967,586.1
06/01/1967,590.2
07/01/1967,594.5
08/01/1967,598.5
09/01/1967,600.2
10/01/1967,602.8
11/01/1967,608.5
12/01/1967,610.5
01/01/1968,616.7
02/01/1968,623.6
03/01/1968,631.6
04/01/1968,635.7
05/01/1968,640.7
06/01/1968,645.6
07/01/1968,646.3
08/01/1968,649.8
09/01/1968,652.1
10/01/1968,657.3
11/01/1968,662.0
12/01/1968,665.7
01/01/1969,667.1
02/01/1969,668.9
03/01/1969,673.3
